OBJECTID,plotname,Shape_Length,Shape_Area,Longdd,Latdd
1,FWS 50_1_22_na,20065.365705861052000,3870128.316325214700000,-86.002206535592350,50.166753894199786
2,FWS 50_1_23_na,58630.734793302705000,11600444.331467612000000,-85.735835094359416,50.166669849511671
3,FWS 50_1_24_na,58630.730988230542000,11600440.166228099000000,-85.334164770436161,50.166669845627887
4,FWS 51_1_1_na,59516.680755149275000,11777633.002459083000000,-79.405359413249712,46.666669844478754
5,FWS 51_1_2_na,59516.680554949562000,11777631.858250638000000,-79.782739657750142,46.666669848020327
6,FWS 51_1_3_na,59518.149957235000000,11777921.665886045000000,-80.160124746599024,46.666669846913109
7,FWS 51_1_4_na,59513.438538038885000,11776981.999905460000000,-80.537499429432174,46.666669847704085
8,FWS 51_1_5_na,59518.149840144193000,11777926.872141929000000,-80.914874078879279,46.666669847690436
9,FWS 51_1_6_na,59516.677504827370000,11777630.445036577000000,-81.292259213069897,46.666669848074790
10,FWS 51_1_7_na,59516.681423709953000,11777633.857225768000000,-81.669639606848861,46.666669847907066
11,FWS 51_1_8_na,59518.153642918522000,11777925.690091958000000,-82.047024752427660,46.666669847581502
12,FWS 51_1_9_na,59516.681157006991000,11777632.319569604000000,-82.424409890313569,46.666669847806688
13,FWS 51_1_10_na,59516.680957242395000,11777632.070832243000000,-82.801790264991141,46.666669847948974
14,FWS 51_1_11_na,59514.914027537096000,11777277.800807837000000,-83.179164904717197,46.666669847788569
15,FWS 51_1_12_na,59516.680522257855000,11777630.969907859000000,-83.556539556365877,46.666669847989127
16,FWS 51_1_13_na,59518.152520570409000,11777927.872716501000000,-83.933924691558204,46.666669847794573
17,FWS 51_1_14_na,59516.677603810713000,11777630.336742854000000,-84.311309678593815,46.666669843949705
18,FWS 51_2_1_na,59792.260209338157000,11832747.601347351000000,-79.725639495443545,47.333330153732014
19,FWS 51_2_2_na,59792.257287238601000,11832745.281273413000000,-80.110259976921569,47.333330156433384
20,FWS 51_2_3_na,59790.515537217230000,11832397.183270022000000,-80.494874954835367,47.333330156844148
21,FWS 51_2_4_na,59792.257175383224000,11832745.664510556000000,-80.879489893290824,47.333330156991373
22,FWS 51_2_5_na,60933.350104587596000,12060963.666213959000000,-81.267859461575483,47.333330157208948
23,FWS 51_2_6_na,58649.426210747719000,11604180.830961363000000,-81.652474427238687,47.333330156635476
24,FWS 51_2_7_na,59789.067884715201000,11832107.717851553000000,-82.033329994705056,47.333330156671082
25,FWS 51_2_8_na,59792.260776906420000,11832746.698057799000000,-82.417940164706309,47.333330156898278
26,FWS 51_2_9_na,59791.970309506672000,11832687.786613479000000,-82.802559874601215,47.333330156865159
27,FWS 51_2_10_na,59790.808967051707000,11832456.032032348000000,-83.187174821898509,47.333330156983713
28,FWS 51_2_11_na,59791.969869978195000,11832688.577322582000000,-83.571789757960559,47.333330156744907
29,FWS 51_2_12_na,59792.259855530268000,11832746.436284183000000,-83.956409476591844,47.333330156906598
30,FWS 51_2_13_na,59790.515598992613000,11832397.626042882000000,-84.341024261286137,47.333330152971001
31,FWS 51_3_1_na,58754.749662369046000,11625244.316407677000000,-79.708335078498237,48.000001906308320
32,FWS 51_3_2_na,58754.746731857660000,11625244.118830644000000,-80.091664300430963,48.000001909566087
33,FWS 51_3_3_na,58756.463255272189000,11625588.966909055000000,-80.474999423122640,48.000001910363252
34,FWS 51_3_4_na,58754.746660331235000,11625245.996528981000000,-80.858334538711503,48.000001910355024
35,FWS 51_3_5_na,58754.746530683136000,11625246.303910965000000,-81.241663935256682,48.000001910280766
36,FWS 51_3_6_na,58756.467109018296000,11625590.549464606000000,-81.624999068880200,48.000001910013630
37,FWS 51_3_7_na,58754.750448098377000,11625242.245740984000000,-82.008334192671384,48.000001910037724
38,FWS 51_3_8_na,58755.036332131014000,11625302.348161545000000,-82.391664529197598,48.000001909938703
39,FWS 51_3_9_na,58756.180552343867000,11625529.652181137000000,-82.774999641816621,48.000001910111870
40,FWS 51_3_10_na,58755.035931862010000,11625303.492251905000000,-83.158334753685338,48.000001909929821
41,FWS 51_3_11_na,58754.749586058642000,11625244.788611310000000,-83.541665100560195,48.000001909894813
42,FWS 51_3_12_na,58756.179835862255000,11625531.096847307000000,-83.924999260369404,48.000001910061506
43,FWS 51_3_13_na,58755.032810406861000,11625302.138023153000000,-84.308334216776828,48.000001906305030
44,FWS 51_4_1_na,59308.738214813573000,11736041.965333506000000,-79.713059585817021,48.666669844914104
45,FWS 51_4_2_na,59799.811470692337000,11834255.685420197000000,-80.107499096828619,48.666669848210937
46,FWS 51_4_3_na,59555.682807020799000,11785431.330406841000000,-80.502774232546173,48.666669848897520
47,FWS 51_4_4_na,59555.964686605788000,11785487.570784424000000,-80.897224431921515,48.666669848830495
48,FWS 51_4_5_na,59552.863664274271000,11784867.355462167000000,-81.291665074544269,48.666669849041213
49,FWS 51_4_6_na,59555.686683894266000,11785432.933984898000000,-81.686104793399139,48.666669848722812
50,FWS 51_4_7_na,59555.686600865767000,11785432.743039446000000,-82.080554038102122,48.666669848814337
51,FWS 51_4_8_na,59554.558758609659000,11785206.200747767000000,-82.474999451280496,48.666669849052475
52,FWS 51_4_9_na,59555.686148695364000,11785432.808690358000000,-82.869444868422136,48.666669848724695
53,FWS 51_4_10_na,59555.685925462858000,11785432.044078451000000,-83.263894106837554,48.666669848722698
54,FWS 51_4_11_na,59552.866620756235000,11784868.487226631000000,-83.658333794340024,48.666669848989606
55,FWS 51_4_12_na,59555.967298851574000,11785489.190134587000000,-84.052774446016372,48.666669849019151
56,FWS 51_4_13_na,59555.682859399763000,11785428.982693398000000,-84.447224582569731,48.666669848072111
57,FWS 51_4_14_na,59552.863729049728000,11784867.458023837000000,-84.841664178146146,48.666669845427187
58,FWS 51_5_1_na,59562.260226437502000,11786748.161372392000000,-79.749474700457455,49.166669845460390
59,FWS 51_5_2_na,59565.044827528269000,11787300.303155134000000,-80.148434594884591,49.166669848588974
60,FWS 51_5_3_na,59562.257244854685000,11786744.399986900000000,-80.547394754818697,49.166669849100685
61,FWS 51_5_4_na,59563.650923999463000,11787024.487414241000000,-80.946350098209095,49.166669849310431
62,FWS 51_5_5_na,59565.044604878472000,11787303.453279411000000,-81.345314971970268,49.166669849329409
63,FWS 51_5_6_na,59562.261026386244000,11786748.471539719000000,-81.744275115702052,49.166669849044730
64,FWS 51_5_7_na,59561.982157414059000,11786690.624695348000000,-82.143224741102316,49.166669849293307
65,FWS 51_5_8_na,59565.048248155232000,11787305.949096045000000,-82.542183894964666,49.166669849252060
66,FWS 51_5_9_na,59562.260467368433000,11786746.147824200000000,-82.941143999220074,49.166669849040211
67,FWS 51_5_10_na,59563.654049140445000,11787023.509719508000000,-83.340099360445819,49.166669849146132
68,FWS 51_5_11_na,59562.260065099086000,11786747.203814458000000,-83.739054702320459,49.166669849025112
69,FWS 51_5_12_na,59565.044838329421000,11787300.892193764000000,-84.138014829025721,49.166669848641526
70,FWS 51_5_13_na,59562.257238507962000,11786747.369296107000000,-84.536974911134479,49.166669849463823
71,FWS 51_5_14_na,59565.044683646367000,11787301.844919901000000,-84.935935010587130,49.166669849258597
72,FWS 51_5_15_na,59562.256913902216000,11786744.503611878000000,-85.334894992076087,49.166669845333573
73,FWS 51_6_1_na,58981.883216973896000,11670673.399202051000000,-79.717177670446674,49.833330356801312
74,FWS 51_6_2_na,58984.900318731401000,11671272.003728889000000,-80.118225072841398,49.833330157850213
75,FWS 51_6_3_na,58981.880207158480000,11670670.481250215000000,-80.519265172817441,49.833330158662150
